"ControlName","Container","DisplayOnHover","DisplayOnGotFocus","HelpText"
"lblPlacement","ptWizard",0,0,
"lblPurpose","grpVersionProperties",0,0,
"lblRecDelim","ppTextFileAttribs",0,0,
"lblRecordSource","pnlDBSourceProperties",0,0,
"lblRepKeyField","grpNumRepeats",0,0,
"lblRepKeyImpliedClarification","pnlRepeatingfields",0,0,
"lblRepKeySQL","grpNumRepeats",0,0,
"lblRepKeyTable","grpNumRepeats",0,0,
"lblRulesForConfirmLayout","ppConfirmRecLayout",0,0,
"lblRulesForTextFile","ppTextFileAttribs",0,0,
"lblSampleDB","grpVersionProperties",0,0,
"lblSampleDestDB","grpVersionProperties",0,0,
"lblSampleSourceDB","pnlDBSourceProperties",0,0,
"lblSampleSourceDBLabel","pnlDBSourceProperties",0,0,
"lblTextFieldDelim","ppTextFileAttribs",0,0,
"lblVersionAndSource","ppDataSource",0,0,
"lblVersionName","grpVersionProperties",0,0,
"lblVersionTemplates","ppRulesVersion",0,0,
"lblWelcome","ppWelcome",0,0,
"lstAvailableCols","ppColumnMappings",0,0,
"lstDataSources","ppDataSource",0,0,
"lstMappingAssignments","ppColumnMappings",0,0,
"lstVersionTemplates","ppRulesVersion",0,0,
"optMultDelimsAsRecDelim","ppTextFileAttribs",0,0,
"optNoPostFix","grpFileNamePatternProps",0,0,
"optNoPostfixAlt","grpAltFileNamePatternProps",0,0,
"optNoRepeatingFields","ppRecLayout",1,0,"Choose this button if each data source column maps to one destination database field."
"optNumDelims","ppTextFileAttribs",0,0,
"optNumLines","ppTextFileAttribs",0,0,
"optNumRepsUnknown","grpNumRepeats",0,0,
"optPostFixSQL","grpFileNamePatternProps",0,0,
"optPostfixSQLAlt","grpAltFileNamePatternProps",0,0,
"optRepeatingFields","ppRecLayout",1,0,"Choose this button if one group of data source columns repeats multiple times, and each repeat gets written to its own destination database row."
"optRepeatPerUniqueRow","grpNumRepeats",0,0,
"optRepKeySQL","grpNumRepeats",0,0,
"optSequentialPostFix","grpFileNamePatternProps",0,0,
"optSequentialPostfixAlt","grpAltFileNamePatternProps",0,0,
"pnlDBSourceProperties","grpSourceRulesProperties",0,1,
"pnlNoRepeatingFields","ppRecLayout",0,1,"If this data source contains no repeating fields, you MUST specify an exact number of columns that each record contained in that data source will contain.  This number should include all data source columns, whether they are written to the database or not."
"pnlRepeatingfields","ppRecLayout",0,1,"If the number of repeats can be determined from ALL distinct values in a database field, choose that field and the table it belongs to under 'One repeat per unique value in the following field' (eg, tblSpeciesType.SpeciesTypeID).  The values returned from this field must also be the values that each repeat of fields belongs to (eg, SpeciesTypes Softwood, Hardwood, etc.).  If the number of repeats can be determined from all distinct values in a field in an SQL query, choose the 'One repeat per unique value in the following field (include ORDER BY)' button, and enter that SQL query.  The values returned from this query must also be the values that each repeat of fields belongs to (eg, SpeciesTypes Softwood, Hardwood, etc.).  This option can return more than one field per row.  In this case, all fields returned will be used to determine which values this repeat of fields belongs to; therefore, only include fields in your SELECT clause that actually IDENTIFY each repeat of fields.  If the number of repeats cannot be known by one of the above two methods, or the number of repeats can vary from record to record (EVER!), then choose the last option, 'Number of repeats per record unknown, or variable'.  In this case, no non-repeating fields can occur after the repeated fields, or the Translator will give you erroneous results.  Finally, if none of the columns in the repeated fields actually contain the repeat identifier value(s), leave 'Field(s) that identify each repeat also appear in record source' unchecked.  DO check it, though, if the source data DOES contain these values."
"pnlTextFileProperties","grpSourceRulesProperties",0,1,
"ppColumnMappings","ptWizard",0,1,
"ppConfirmRecLayout","ptWizard",0,1,"Click Next if this layout describes each record that will be passed to the Translator class; otherwise, click Previous to modify…"
"ppDataSource","ptWizard",0,1,"Each data source's subset of rules is identified by a unique 'FileNamePattern' (click File Name Pattern to view a description). Each data source can be from a completely different data source, or even type of data source.  Choose New to create a new data source set of rules, or choose a data source from the list. Make any modifications to its properties in the Properties window before clicking Modify.  Make any changes to DUPLICATED data source rules sets AFTER clicking Duplicate.  Clicking Modify will allow you to add to, delete and/or modify the contents of the rules for that data source."
"ppDestTables","ptWizard",0,1,
"ppRecLayout","ptWizard",0,1,
"ppRepFields","ptWizard",0,1,
"ppRulesVersion","ptWizard",0,1,"Each set of rules is identified by a unique Rules Version Name, and contains a unique combination of 'Purpose', 'CBM Version' and 'Database Version'.  Each version can address only one destination database.  Choose New to create a new template, or choose a template from the list. Make any modifications to its properties in the Properties window before clicking Modify.  Make any changes to DUPLICATED data source rules sets AFTER clicking Duplicate.  The Sample Destination Database setting must point to an existing database file before you may click Modify.  Clicking Modify will allow you to add to, delete and/or modify the contents of the rules in that template."
"ppTextFileAttribs","ptWizard",0,1,"A record delimiter is usually one or more CRLF characters (carriage-return-line-feed).  If each record in your source text file occupies exactly one line, then enter a '1' in the 'Fixed number of delimiters between each record' field.  If there is more than one CRLF character between records, and that number never changes, enter that number there.  If, on the other hand, there are always the same number lines per record (with multiple CRLF characters between each record), enter that unchanging number of lines in the 'Fixed number of lines per record' field.  Finally, if there are multiple CRLF characters between each record, but the number between each record tends to be inconsistent, choose 'Treat more than one delimiter as a single record break'.  Field delimiters could be commas, pipe characters, spaces, or just about anything.  Whatever delimiter you choose, make sure no field anywhere in your data source contains any field delimiter characters in the data itself, or the Translator will not work.  Also, any delimiter can occur back-to-back anywhere in your data source.  If this means that there is an EMPTY field value between those two delimiters, do NOT check 'Treat multiple delimiter characters as single delimiter'.  If however, multiple delimiter characters grouped together ARE a field delimiter, DO check 'Treat multiple delimiter characters as single delimiter'.  For example, your data source may contain data lined up in columns, and separated by spaces (rather than tabs).  But since the columns are lined up, and the data in them has random lengths, each set of spaces, no matter how many, is treated as ONE delimiter.  Finally, if you use spaces as a delimiter, and your data source has ANY text fields in which there is ANY possibility that space characters could appear in the data itself, then that data source should have a special text field delimiter, such as double quotes, for example.  Otherwise, spaces in the data itself will appear to the Translator to be the beginning of a new column!"
"ppWelcome","ptWizard",0,1,
"ptWizard","frmWizard",0,0,
"txtAltFileNamePattern","pnlTextFileProperties",0,0,"This box is only used for text files that are sometimes NOT named with a postfix, but sometimes DO get named with a postfix.  In this case, enter the File Name Pattern with the postfix, replacing the postfix with '#' characters, here."
"txtConfirmLayout","ppConfirmRecLayout",0,0,
"txtFileNamePattern","grpSourceRulesProperties",0,0,"This is the 'name' for the rules for this data source.  Each source must receive a name.  If the source is a text file, this is the name of that file.  If the source is one of many text files, each named with a postfix, type the name of one of the files, replacing all digits of the postfix with '#' characters.  If the file is sometimes NOT named with a postfix, but sometimes is, place the name of the file WITHOUT the postfix here.  If the data source is a database table or stored procedure, enter the name of that.  If your datasource will be an sql string, enter a brief stored procedure-like name here; then, make sure you have selected ODBC for your type of Data Source, above, and enter the SQL string into the Record Source box below.  Do NOT enter the SQL string here."
"txtPostfixSQL","grpFileNamePatternProps",0,0,
"txtPostfixSQLAlt","grpAltFileNamePatternProps",0,0,
"txtRecordSource","pnlDBSourceProperties",0,0,
"txtRepKeySQL","grpNumRepeats",0,0,
"txtVersionName","grpVersionProperties",0,0,
